time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1663757455999400000.00,-0.08959130859375,51.9102685842663,1.28809999843811,180,43.3859006913917,3.32026843167841,122.844365195431,4.74233209861868,3.36672293175423,4.8367181080442,0
1663759166997700000.00,1710.90870556641,50.8262169742957,1.34408716038565,180,43.3873214660428,2.23621682170779,71.8539744790251,4.7400959963835,3.36987046900292,4.84109143041591,0
1663760876998880000.00,3420.9098815918,50.8027209546417,0.82850925773518,180,43.3900999261918,2.21272080205381,80.7132137354278,4.73885016758595,3.37162217959834,4.86395277916102,0
1663762586999980000.00,5130.91098876953,51.474450930953,1.33761104205126,180,43.3927727818423,2.88445077836514,321.246017952629,4.74130860686342,3.3681641479108,4.88576475051201,0
1663764297998440000.00,6841.90944775391,51.474450930953,1.30526171508602,180,43.3927727818423,2.88445077836514,321.246017952629,4.73930884134812,3.37097741598908,4.88576475051201,0
1663766007999760000.00,8551.91076098633,50.6139376508072,0.918670037458764,180,43.3957304369044,2.02393749821931,73.0948964469672,4.74021731106896,3.3696998199589,4.90476063604864,0
1663767718998060000.00,10262.9090664063,51.1616703690961,0.909687725813737,180,43.3935286948615,2.57167021650821,91.2581432889923,4.7335699364935,3.37903132407998,4.91724951126019,0
1663769428999470000.00,11972.9104775391,52.4108074167743,1.27779576389454,37.3842002715994,43.3898380639577,3.82080726418644,110.956028402528,4.73773295811219,3.37319187868202,4.942620281882,1.16120994779337
1663771139997920000.00,13683.9089216309,51.0629754019901,0.883501511159267,180,43.3806119377281,2.47297524940222,146.229852954479,4.73988443694567,3.37016803100217,4.95771692138545,0
1663772849999000000.00,15393.9100004883,50.2277717329562,1.18712450944377,180,43.3783818245918,1.63777158036828,293.131620750774,4.74438791179231,3.3638252593183,4.95307956746423,0
1663774559999970000.00,17103.9109765625,50.4958584271371,1.12466860828932,37.7538575400432,43.3656410967965,1.90585827454925,215.250563300655,4.74242497482505,3.36659210343999,4.93674960612767,1.36612839046358
1663776270998480000.00,18814.9094897461,50.30189412646,1.10615129106037,34.6453068495786,43.3494970857208,1.71189397387207,208.778925116901,4.74364366178557,3.36487471427845,4.91769486408178,1.49229055391322
1663777980999710000.00,20524.910717041,51.6759003195912,1.13393626641456,35.8242235236569,43.3275465922479,3.08590016700327,231.45173293347,4.73749714334924,3.37352306195565,4.90181885925479,1.27144814394112
1663779691997960000.00,22235.9089609375,51.1267888611183,1.11486987242936,29.7128658054335,43.3130609198456,2.53678870853037,203.703507377528,4.74058712177145,3.36917954013785,4.87839453125353,1.76823082560812
1663781401999190000.00,23945.9101965332,50.8252253159881,1.25260484065771,29.7114871989875,43.2960960301605,2.23522516340017,259.989053123653,4.73710431523616,3.37407464934607,4.85471881790683,1.47424504101696
1663783112997470000.00,25656.9084763184,50.5350048588589,1.26461044871351,42.2890384525287,43.2941565030182,1.94500470627099,259.838020291083,4.73553880130508,3.37627150776162,4.82787124943537,0.946108824596338
1663784822998810000.00,27366.9098132324,48.4310479462147,1.23538304792483,25.4455644760998,43.2903920684719,-0.158952206373215,278.5611281641,4.73957355275189,3.37060522322678,4.80228530509741,1.63191536942524
1663786532999990000.00,29076.9109938965,51.1500529367477,0.881945079396952,180,43.292099734348,2.56005278415978,280.835587647888,4.72034593781442,3.39748013388566,4.77856548057935,0
1663788243998390000.00,30787.9093925781,52.7264526542276,1.13952823147117,180,43.296409993883,4.13645250163972,266.986761368542,4.72830431512375,3.3863956260855,4.7587427677365,0
1663789953999610000.00,32497.9106169434,49.4406922450289,0.828792836243153,180,43.2991069757737,0.850692092441022,330.418822172464,4.72065970600716,3.3970441523285,4.75073000130789,0
1663791664997870000.00,34208.9088771973,49.6303202444688,1.19160501978325,31.2918745346597,43.2994454921337,1.04032009188086,251.283647323356,4.72170692566895,3.39558842336328,4.73978899530933,1.39582113229552
1663793374999210000.00,35918.9102124023,49.0050023933873,1.22112945430833,50.5387648808816,43.2981255951221,0.415002240799367,248.19527294788,4.72779404366696,3.38710798668364,4.71371269648506,0.845547839193861
1663795085999960000.00,37629.9109677734,51.8713412936777,1.26375372907662,180,43.2968525690438,3.2813411410898,283.045258983275,4.73277284698384,3.38014766121856,4.69865879276986,0
1663796796998690000.00,39340.9096906738,53.2647878071293,1.23350418987305,21.9067910965052,43.2998492046712,4.01142705883831,289.151140826245,4.72296478335374,3.39383863611534,4.66672520195069,2.18411341055583
1663798506999970000.00,41050.9109797363,52.4086311003193,1.18706752250071,24.7076555734858,43.3095652928231,3.14957500901073,298.415530133615,4.7224668933257,3.39453140716529,4.63137956478146,1.93305227281503
1663800217998270000.00,42761.9092731934,51.342582443729,1.20825975435246,24.4259921767107,43.3128976579774,2.07548878528178,255.544556524994,4.72494315282196,3.3910837847788,4.59327944140428,1.84213159420443
1663801927999580000.00,44471.9105849609,51.461557675153,1.16343204834586,21.7116188200857,43.324807187721,2.18751745298505,298.314590317197,4.72162065879469,3.39570837782516,4.54978650663129,2.32332092866304
1663803638997820000.00,46182.9088249512,50.7226650938392,1.13792794061437,23.6759003392883,43.3442792767601,1.44514586776495,311.574180358465,4.72995287100165,3.3840926215002,4.51203880783342,2.31390899925322
1663805348999110000.00,47892.9101149902,51.0031986543909,1.05915350244646,21.3288777190256,43.3702812345136,1.72501185629517,318.917634629588,4.72596077564002,3.38966543775353,4.47834321719153,2.65228271005097
